Sanity checks (N: expected (s,r) → got (s,r)):
  N=3: expected (2, 5) → got (2, 5) ✅
  N=5: expected (1, 3) → got (1, 4) ❌
  N=7: expected (5, 11) → got (5, 11) ✅
  N=27: expected (41, 70) → got (41, 70) ✅
Verifying N = 2 to 1,000,000,000
Progress (every 500,000 pairs):

  N=     500,000  |  same-T:  235,189  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   1,000,000  |  same-T:  477,245  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   1,500,000  |  same-T:  721,292  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   2,000,000  |  same-T:  966,531  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   2,500,000  |  same-T: 1,212,521  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   3,000,000  |  same-T: 1,460,224  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   3,500,000  |  same-T: 1,707,602  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   4,000,000  |  same-T: 1,956,518  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   4,500,000  |  same-T: 2,205,201  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   5,000,000  |  same-T: 2,454,559  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   5,500,000  |  same-T: 2,704,319  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   6,000,000  |  same-T: 2,954,700  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   6,500,000  |  same-T: 3,204,975  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   7,000,000  |  same-T: 3,455,274  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   7,500,000  |  same-T: 3,707,347  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   8,000,000  |  same-T: 3,957,903  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   8,500,000  |  same-T: 4,209,495  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   9,000,000  |  same-T: 4,460,510  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
