Sanity checks (N: expected (s,r) → got (s,r)):
  N=3: expected (2, 5) → got (2, 5) ✅
  N=5: expected (1, 3) → got (1, 4) ❌
  N=7: expected (5, 11) → got (5, 11) ✅
  N=27: expected (41, 70) → got (41, 70) ✅
Verifying N = 2 to 1,073,741,824
Progress (reported at every power of 2):

  N=           4  |  same-T:        0  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=           8  |  same-T:        0  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=          16  |  same-T:        2  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=          32  |  same-T:        7  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=          64  |  same-T:       18  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=         128  |  same-T:       40  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=         256  |  same-T:       86  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=         512  |  same-T:      180  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=       1,024  |  same-T:      373  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=       2,048  |  same-T:      774  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=       4,096  |  same-T:    1,624  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=       8,192  |  same-T:    3,381  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=      16,384  |  same-T:    6,935  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=      32,768  |  same-T:   14,224  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=      65,536  |  same-T:   29,177  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=     131,072  |  same-T:   59,570  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=     262,144  |  same-T:  121,388  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=     524,288  |  same-T:  246,903  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   1,048,576  |  same-T:  500,898  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   2,097,152  |  same-T: 1,014,412  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   4,194,304  |  same-T: 2,053,126  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=   8,388,608  |  same-T: 4,153,081  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  16,777,216  |  same-T: 8,393,046  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  33,554,432  |  same-T: 16,951,586  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  67,108,864  |  same-T: 34,216,182  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 134,217,728  |  same-T: 69,029,924  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 268,435,456  |  same-T: 139,204,551  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
